d: 20
lambda: 0.001
gamma: 0.8
rho: 2.0
fnTrainingData: ../ML100K/generality/copy1.train
fnTestData: ../ML100K/generality/copy1.test
fnOutputData: ./testResult/FPMF_0.001_2_100K_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:2.5237| RMSE:2.7655017
MAE:1.0368968| RMSE:1.2291209
MAE:1.0373074| RMSE:1.343849
MAE:1.3918011| RMSE:1.5993685
MAE:0.91730917| RMSE:1.1996745
MAE:0.9580841| RMSE:1.146479
MAE:0.8016948| RMSE:1.0381619
MAE:0.7986968| RMSE:0.9957819
MAE:0.7829286| RMSE:0.99473846
MAE:0.7844565| RMSE:0.99211025
MAE:0.7842649| RMSE:0.9925509
MAE:0.7842495| RMSE:0.9925609
MAE:0.7843661| RMSE:0.99265724
MAE:0.78435004| RMSE:0.99266285
MAE:0.7843654| RMSE:0.99267226
MAE:0.7843997| RMSE:0.99268746
MAE:0.78436106| RMSE:0.9926808
MAE:0.78435373| RMSE:0.9926502
MAE:0.784379| RMSE:0.99266005
MAE:0.7843395| RMSE:0.9926224
MAE:0.7843173| RMSE:0.9926248
MAE:0.7842992| RMSE:0.9926028
MAE:0.7842851| RMSE:0.99260134
MAE:0.7842954| RMSE:0.9926077
MAE:0.78432536| RMSE:0.99263114
MAE:0.78432053| RMSE:0.9926252
MAE:0.7843027| RMSE:0.9926117
MAE:0.7843292| RMSE:0.99262625
MAE:0.7843227| RMSE:0.9926248
MAE:0.78430855| RMSE:0.9926277
MAE:0.78430486| RMSE:0.9926089
MAE:0.7842933| RMSE:0.9925967
MAE:0.78428686| RMSE:0.9925895
MAE:0.7842961| RMSE:0.9925974
MAE:0.7843011| RMSE:0.9926017
MAE:0.78430194| RMSE:0.9926008
MAE:0.78430974| RMSE:0.99260414
MAE:0.7843062| RMSE:0.9926002
MAE:0.78430444| RMSE:0.99259955
MAE:0.78430504| RMSE:0.9925996
MAE:0.784307| RMSE:0.9926028
MAE:0.7843095| RMSE:0.99260426
MAE:0.78430724| RMSE:0.9926013
MAE:0.7843062| RMSE:0.9926001
MAE:0.78430676| RMSE:0.9926016
MAE:0.784306| RMSE:0.992603
MAE:0.7843087| RMSE:0.99260527
MAE:0.78430784| RMSE:0.9926036
MAE:0.7843062| RMSE:0.9926013
MAE:0.78430706| RMSE:0.9926013
MAE:0.7843059| RMSE:0.99260175
MAE:0.78430647| RMSE:0.9926014
MAE:0.7843053| RMSE:0.9926013
MAE:0.7843062| RMSE:0.9925998
MAE:0.7843065| RMSE:0.9926007
MAE:0.7843054| RMSE:0.9925997
MAE:0.78430504| RMSE:0.9926004
MAE:0.7843044| RMSE:0.9926006
MAE:0.78430384| RMSE:0.9926006
MAE:0.7843046| RMSE:0.99260014
MAE:0.7843034| RMSE:0.99260104
MAE:0.78430295| RMSE:0.9926007
MAE:0.7843041| RMSE:0.9925997
MAE:0.7843034| RMSE:0.9926008
MAE:0.7843039| RMSE:0.9926011
MAE:0.7843041| RMSE:0.9926009
MAE:0.7843045| RMSE:0.9926009
MAE:0.7843043| RMSE:0.9926013
MAE:0.78430516| RMSE:0.9926019
MAE:0.78430516| RMSE:0.9926016
MAE:0.7843057| RMSE:0.9926018
MAE:0.7843057| RMSE:0.99260163
MAE:0.7843054| RMSE:0.9926014
MAE:0.7843055| RMSE:0.99260175
MAE:0.78430533| RMSE:0.9926017
MAE:0.7843055| RMSE:0.99260175
MAE:0.7843057| RMSE:0.9926019
MAE:0.7843058| RMSE:0.9926014
MAE:0.7843057| RMSE:0.99260145
MAE:0.78430593| RMSE:0.9926015
MAE:0.78430605| RMSE:0.9926013
MAE:0.7843064| RMSE:0.9926017
MAE:0.78430593| RMSE:0.99260163
MAE:0.78430593| RMSE:0.99260145
MAE:0.7843056| RMSE:0.9926015
MAE:0.78430545| RMSE:0.99260175
MAE:0.78430575| RMSE:0.9926016
MAE:0.7843058| RMSE:0.99260175
MAE:0.7843057| RMSE:0.9926018
MAE:0.7843058| RMSE:0.99260175
MAE:0.7843057| RMSE:0.99260175
MAE:0.7843058| RMSE:0.99260175
MAE:0.7843058| RMSE:0.99260205
MAE:0.7843058| RMSE:0.9926018
