d: 20
lambda: 0.001
gamma: 0.8
rho: 3.0
fnTrainingData: ../ML100K/generality/copy5.train
fnTestData: ../ML100K/generality/copy5.test
fnOutputData: ./testResult/FPMF_0.001_3_100K_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.53195| RMSE:2.7700632
MAE:2.5126667| RMSE:2.7467635
MAE:0.78002924| RMSE:0.9965806
MAE:0.80712444| RMSE:0.99885744
MAE:0.78798026| RMSE:1.010741
MAE:0.80842245| RMSE:0.9991723
MAE:0.78492385| RMSE:1.0030147
MAE:0.7927929| RMSE:0.9896906
MAE:0.7829915| RMSE:0.9910892
MAE:0.7853119| RMSE:0.98863274
MAE:0.78437847| RMSE:0.98901606
MAE:0.7845129| RMSE:0.98891747
MAE:0.78451204| RMSE:0.9889774
MAE:0.7845546| RMSE:0.98896474
MAE:0.78466773| RMSE:0.98906827
MAE:0.78456736| RMSE:0.9889897
MAE:0.7845422| RMSE:0.98895574
MAE:0.7845541| RMSE:0.9889839
MAE:0.7845694| RMSE:0.98898673
MAE:0.78455657| RMSE:0.98897016
MAE:0.7845376| RMSE:0.98894507
MAE:0.7845455| RMSE:0.9889799
MAE:0.7845479| RMSE:0.98899347
MAE:0.78455365| RMSE:0.9890136
MAE:0.78456235| RMSE:0.9890348
MAE:0.78456306| RMSE:0.98903245
MAE:0.7845826| RMSE:0.98903084
MAE:0.784581| RMSE:0.9890173
MAE:0.7846026| RMSE:0.98903954
MAE:0.7846032| RMSE:0.989034
MAE:0.78459585| RMSE:0.9890228
MAE:0.7845941| RMSE:0.9890208
MAE:0.7845922| RMSE:0.989022
MAE:0.7845834| RMSE:0.98901695
MAE:0.78458476| RMSE:0.98901516
MAE:0.7845842| RMSE:0.9890114
MAE:0.7845738| RMSE:0.98900473
MAE:0.784575| RMSE:0.98900735
MAE:0.7845703| RMSE:0.9890015
MAE:0.7845732| RMSE:0.9890044
MAE:0.7845663| RMSE:0.98900205
MAE:0.7845712| RMSE:0.9890024
MAE:0.7845709| RMSE:0.9890033
MAE:0.7845681| RMSE:0.989002
MAE:0.7845684| RMSE:0.98900074
MAE:0.78456897| RMSE:0.9890028
MAE:0.7845715| RMSE:0.98900515
MAE:0.78457034| RMSE:0.9890069
MAE:0.78457224| RMSE:0.9890097
MAE:0.7845731| RMSE:0.98900986
MAE:0.7845712| RMSE:0.98900855
MAE:0.7845722| RMSE:0.9890065
MAE:0.7845713| RMSE:0.98900616
MAE:0.7845719| RMSE:0.9890069
MAE:0.7845705| RMSE:0.98900664
MAE:0.784569| RMSE:0.98900515
MAE:0.7845688| RMSE:0.9890057
MAE:0.7845694| RMSE:0.98900497
MAE:0.7845692| RMSE:0.9890059
MAE:0.78456926| RMSE:0.9890054
MAE:0.7845698| RMSE:0.9890056
MAE:0.7845696| RMSE:0.9890057
MAE:0.7845707| RMSE:0.9890061
MAE:0.78457135| RMSE:0.9890054
MAE:0.78457| RMSE:0.9890056
MAE:0.78456944| RMSE:0.9890055
MAE:0.7845701| RMSE:0.9890052
MAE:0.784569| RMSE:0.9890049
MAE:0.78457046| RMSE:0.9890051
MAE:0.7845703| RMSE:0.98900515
MAE:0.78457034| RMSE:0.98900527
MAE:0.78456986| RMSE:0.9890056
MAE:0.7845698| RMSE:0.9890054
MAE:0.7845698| RMSE:0.98900485
MAE:0.7845698| RMSE:0.9890051
MAE:0.78457| RMSE:0.98900545
MAE:0.7845703| RMSE:0.9890054
MAE:0.7845698| RMSE:0.98900515
MAE:0.78457004| RMSE:0.98900515
MAE:0.78456974| RMSE:0.9890054
MAE:0.7845691| RMSE:0.9890054
MAE:0.7845694| RMSE:0.9890052
MAE:0.7845694| RMSE:0.98900497
MAE:0.78456926| RMSE:0.989005
MAE:0.7845691| RMSE:0.9890053
MAE:0.78456926| RMSE:0.9890054
MAE:0.78456944| RMSE:0.9890054
MAE:0.7845695| RMSE:0.98900515
MAE:0.7845697| RMSE:0.98900515
MAE:0.7845695| RMSE:0.9890052
MAE:0.7845695| RMSE:0.9890052
MAE:0.7845697| RMSE:0.9890052
MAE:0.7845695| RMSE:0.98900527
MAE:0.7845695| RMSE:0.9890053
MAE:0.7845695| RMSE:0.98900515
