d: 20
lambda: 0.001
gamma: 0.8
rho: 1.0
fnTrainingData: ../ML100K/generality/copy4.train
fnTestData: ../ML100K/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_1_100K_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.5244| RMSE:2.7652848
MAE:2.0066302| RMSE:2.220842
MAE:1.1542367| RMSE:1.4753795
MAE:2.0690534| RMSE:2.29216
MAE:0.8396538| RMSE:1.0979304
MAE:0.895946| RMSE:1.0782448
MAE:0.79754883| RMSE:1.0379158
MAE:0.80066| RMSE:0.9871139
MAE:0.7670809| RMSE:0.97904927
MAE:0.76965225| RMSE:0.96953416
MAE:0.76743895| RMSE:0.9705113
MAE:0.76777464| RMSE:0.9703928
MAE:0.7677654| RMSE:0.9703582
MAE:0.76767033| RMSE:0.9703202
MAE:0.7676523| RMSE:0.97023904
MAE:0.7677278| RMSE:0.97029024
MAE:0.7677758| RMSE:0.97040164
MAE:0.7678143| RMSE:0.970441
MAE:0.7678378| RMSE:0.9704446
MAE:0.7678113| RMSE:0.9704528
MAE:0.76775074| RMSE:0.9704156
MAE:0.76775104| RMSE:0.9703979
MAE:0.76777947| RMSE:0.97040445
MAE:0.76779485| RMSE:0.9703973
MAE:0.767792| RMSE:0.97039735
MAE:0.7677924| RMSE:0.97036743
MAE:0.7677963| RMSE:0.97035587
MAE:0.7678001| RMSE:0.97036374
MAE:0.7678204| RMSE:0.9703932
MAE:0.7678406| RMSE:0.9704313
MAE:0.7678276| RMSE:0.9704147
MAE:0.76781374| RMSE:0.9703948
MAE:0.7678146| RMSE:0.9703931
MAE:0.76779985| RMSE:0.9703761
MAE:0.76780796| RMSE:0.9703817
MAE:0.76779777| RMSE:0.9703734
MAE:0.7677938| RMSE:0.9703675
MAE:0.76778585| RMSE:0.97036254
MAE:0.7677844| RMSE:0.97036153
MAE:0.7677883| RMSE:0.97035754
MAE:0.7677837| RMSE:0.97035575
MAE:0.7677792| RMSE:0.9703478
MAE:0.7677789| RMSE:0.9703503
MAE:0.76777625| RMSE:0.9703513
MAE:0.76777446| RMSE:0.97034883
MAE:0.767774| RMSE:0.9703528
MAE:0.7677703| RMSE:0.9703531
MAE:0.7677704| RMSE:0.9703538
MAE:0.76776963| RMSE:0.9703503
MAE:0.7677708| RMSE:0.9703524
MAE:0.76777077| RMSE:0.9703549
MAE:0.76777166| RMSE:0.97035545
MAE:0.7677687| RMSE:0.9703563
MAE:0.76776874| RMSE:0.9703546
MAE:0.76776755| RMSE:0.9703519
MAE:0.7677672| RMSE:0.9703533
MAE:0.7677673| RMSE:0.9703508
MAE:0.7677686| RMSE:0.9703511
MAE:0.76776606| RMSE:0.9703516
MAE:0.76776624| RMSE:0.9703494
MAE:0.7677653| RMSE:0.97034913
MAE:0.7677665| RMSE:0.97034866
MAE:0.7677657| RMSE:0.97034895
MAE:0.7677652| RMSE:0.97035
MAE:0.7677646| RMSE:0.97034913
MAE:0.7677649| RMSE:0.97034985
MAE:0.76776487| RMSE:0.9703507
MAE:0.76776433| RMSE:0.9703498
MAE:0.7677649| RMSE:0.97035
MAE:0.76776475| RMSE:0.97034967
MAE:0.7677653| RMSE:0.9703497
MAE:0.7677646| RMSE:0.97034967
MAE:0.767765| RMSE:0.9703494
MAE:0.7677655| RMSE:0.97034824
MAE:0.7677647| RMSE:0.9703484
MAE:0.76776505| RMSE:0.97034824
MAE:0.767765| RMSE:0.97034824
MAE:0.767765| RMSE:0.970348
MAE:0.7677646| RMSE:0.970348
MAE:0.76776487| RMSE:0.9703481
MAE:0.76776457| RMSE:0.9703485
MAE:0.7677636| RMSE:0.97034866
MAE:0.7677638| RMSE:0.97034854
MAE:0.7677639| RMSE:0.9703487
MAE:0.76776356| RMSE:0.97034854
MAE:0.7677629| RMSE:0.9703484
MAE:0.76776296| RMSE:0.97034866
MAE:0.7677631| RMSE:0.9703484
MAE:0.76776296| RMSE:0.97034854
MAE:0.7677634| RMSE:0.9703485
MAE:0.76776326| RMSE:0.9703486
MAE:0.7677635| RMSE:0.97034866
MAE:0.76776326| RMSE:0.9703485
MAE:0.7677632| RMSE:0.97034866
MAE:0.76776314| RMSE:0.97034866
